person_size,samples,control_recall,kd_recall,recall_delta
small,116,0.5258620689655172,0.6379310344827587,0.11206896551724144
medium,236,0.7584745762711864,0.788135593220339,0.029661016949152574
large,629,0.875993640699523,0.890302066772655,0.014308426073131986
