model,samples,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,specificity,confusion_matrix,positive_prevalence,predicted_positive_rate,expected_calibration_error_10_bins,ece_10
Teacher-160 float,2000,0.365,0.8515,0.8592436974789915,0.8338430173292558,0.8463528194516295,0.9214596469325425,0.9304756816465961,0.8684985279685966,"[[885, 134], [163, 818]]",0.4905,0.476,0.03264125370606781,
Student-120 hard control,2000,0.31,0.738,0.7031111111111111,0.8063200815494393,0.7511870845204178,0.8318422950685197,0.840623373370087,0.6722276741903828,"[[685, 334], [190, 791]]",0.4905,0.5625,,0.06109668425098061
Student-120 response KD,2000,0.255,0.716,0.6682966585167074,0.835881753312946,0.7427536231884058,0.828326025695276,0.8398222576270201,0.6005888125613347,"[[612, 407], [161, 820]]",0.4905,0.6135,,0.057713412031531325
Student-120 response KD INT8,2000,0.24500000000000002,0.7115,0.6666666666666666,0.8236493374108053,0.736890104879161,0.8249628115749785,0.8347967813091313,0.6035328753680078,"[[615, 404], [173, 808]]",0.4905,0.606,,0.07221289062499998
