temperature,probability_mean,probability_std,mean_entropy_nats,fraction_extreme
1.0,0.4766588770489096,0.3692545220313748,0.36055464607732923,0.29183333333333333
2.0,0.5003119667516778,0.26385425354155284,0.5384375026991224,0.021916666666666668
4.0,0.5062050271182962,0.15714407544094128,0.6416969860378697,0.0
8.0,0.5044293785391413,0.08349192622405907,0.6790065084668006,0.0
