epoch,accuracy,gradient_norm,hard_component,hard_loss,learning_rate,loss,pr_auc,precision,recall,regularization,roc_auc,soft_component,soft_loss_kl,val_accuracy,val_gradient_norm,val_hard_component,val_hard_loss,val_loss,val_pr_auc,val_precision,val_recall,val_regularization,val_roc_auc,val_soft_component,val_soft_loss_kl,stage,epoch_all
8,0.7095833420753479,9.13042449951172,0.286625862121582,0.5732517242431641,2.9999999242136255e-05,0.5127081274986267,0.7923934459686279,0.7240334749221802,0.6773333549499512,6.3194293034030125e-06,0.7842172384262085,0.2260760515928268,0.0282595064491033,0.7415000200271606,0.0,0.2724710702896118,0.5449421405792236,0.4552383720874786,0.8363842964172363,0.8501483798027039,0.5793731212615967,6.31860712019261e-06,0.8304144740104675,0.1827610582113266,0.0228451322764158,fine-tune,17
9,0.7121666669845581,9.196038246154783,0.2832520604133606,0.5665041208267212,2.9999999242136255e-05,0.50591641664505,0.798345148563385,0.7275652289390564,0.6783333420753479,6.316118742688559e-06,0.7885429263114929,0.2226579934358596,0.0278322491794824,0.7574999928474426,0.0,0.2622772753238678,0.5245545506477356,0.4195535182952881,0.8363179564476013,0.8080684542655945,0.6683518886566162,6.315880000329344e-06,0.8332553505897522,0.1572699397802353,0.0196587424725294,fine-tune,18
10,0.7160833477973938,9.08704662322998,0.2801489531993866,0.5602979063987732,8.999999408842996e-06,0.4968630075454712,0.8041905760765076,0.7311463952064514,0.6834999918937683,6.314080110314535e-06,0.7952030301094055,0.2167077660560608,0.0270884707570076,0.7584999799728394,0.0,0.2627556622028351,0.5255113244056702,0.4240404367446899,0.8390529155731201,0.8210659623146057,0.6541961431503296,6.314608071988914e-06,0.8352276086807251,0.1612784713506698,0.0201598089188337,fine-tune,19
11,0.7230833172798157,9.177226066589355,0.2782723903656006,0.5565447807312012,8.999999408842996e-06,0.4921002089977264,0.8094685077667236,0.7416501045227051,0.6846666932106018,6.314696292974986e-06,0.7977986335754395,0.213821455836296,0.026727681979537,0.7620000243186951,0.0,0.2571047842502594,0.5142095685005188,0.408567875623703,0.8411320447921753,0.7872340679168701,0.7108190059661865,6.3120392042037565e-06,0.8373133540153503,0.1514567285776138,0.0189320910722017,fine-tune,20
12,0.719083309173584,8.870077133178711,0.2780799567699432,0.5561599135398865,8.999999408842996e-06,0.4958051443099975,0.8090651631355286,0.736804187297821,0.6816666722297668,6.312670393526787e-06,0.7958944439888,0.2177188545465469,0.0272148568183183,0.7509999871253967,0.0,0.2644732296466827,0.5289464592933655,0.4293733537197113,0.8384965062141418,0.8175938129425049,0.639029324054718,6.314853635558393e-06,0.8327116966247559,0.1648938655853271,0.0206117331981658,fine-tune,21
13,0.7213333249092102,8.888607025146484,0.2769041359424591,0.5538082718849182,8.999999408842996e-06,0.4913676679134369,0.8106125593185425,0.7392792701721191,0.6838333606719971,6.313916856015567e-06,0.7996265292167664,0.2144572883844375,0.0268071610480546,0.7570000290870667,0.0,0.2595167756080627,0.5190335512161255,0.4161760509014129,0.8407285213470459,0.8116480708122253,0.6622851490974426,6.315123755484819e-06,0.8368942141532898,0.15665303170681,0.0195816289633512,fine-tune,22
14,0.7200833559036255,8.814130783081055,0.2791938185691833,0.5583876371383667,8.999999408842996e-06,0.4931159615516662,0.8085356950759888,0.7367760539054871,0.6848333477973938,6.31416969554266e-06,0.7957148551940918,0.2139158546924591,0.0267394818365573,0.7509999871253967,0.0,0.2616085112094879,0.5232170224189758,0.4219628572463989,0.8403072953224182,0.8175938129425049,0.639029324054718,6.315181508398382e-06,0.8359056115150452,0.1603479981422424,0.0200434997677803,fine-tune,23
15,0.7255833148956299,8.989853858947754,0.2756160199642181,0.5512320399284363,2.699999868127634e-06,0.4857725501060486,0.8118236064910889,0.7468538880348206,0.6825000047683716,6.314975962595781e-06,0.8029651045799255,0.210150271654129,0.0262687839567661,0.7549999952316284,0.0,0.2606123685836792,0.5212247371673584,0.4189939796924591,0.8411414623260498,0.814628005027771,0.6531850099563599,6.3155521274893545e-06,0.8365947008132935,0.1583752185106277,0.0197969023138284,fine-tune,24
16,0.7207499742507935,8.986783027648926,0.2774267792701721,0.5548535585403442,2.699999868127634e-06,0.4880878925323486,0.8116161823272705,0.7374932765960693,0.6855000257492065,6.315465270745335e-06,0.7990578413009644,0.2106551975011825,0.0263318996876478,0.7555000185966492,0.0,0.2614973783493042,0.5229947566986084,0.4214388132095337,0.8409858345985413,0.8196930885314941,0.648129403591156,6.315880000329344e-06,0.8367347717285156,0.1599350571632385,0.0199918821454048,fine-tune,25
17,0.7276666760444641,8.80673599243164,0.2768957912921905,0.5537915825843811,2.699999868127634e-06,0.4894874393939972,0.8095114827156067,0.7448906302452087,0.6924999952316284,6.315428890957264e-06,0.8018142580986023,0.2125854641199112,0.0265731830149889,0.7565000057220459,0.0,0.261128157377243,0.5222563147544861,0.4205767214298248,0.8422217965126038,0.8242893815040588,0.6450960636138916,6.315938207990257e-06,0.8378333449363708,0.1594422608613968,0.0199302826076746,fine-tune,26
18,0.7250833511352539,9.098918914794922,0.27487513422966,0.5497502684593201,2.699999868127634e-06,0.4856277406215668,0.8131184577941895,0.7433772087097168,0.6875,6.315638529486023e-06,0.8034839034080505,0.2107464373111724,0.0263433046638965,0.7544999718666077,0.0,0.2608457505702972,0.5216915011405945,0.4190317690372467,0.8414305448532104,0.8167939186096191,0.6491405367851257,6.3169059103529435e-06,0.8371732831001282,0.158179685473442,0.0197724606841802,fine-tune,27
19,0.7195833325386047,8.961871147155762,0.2748542129993438,0.5497084259986877,2.699999868127634e-06,0.4829420149326324,0.8134660124778748,0.7370883822441101,0.6826666593551636,6.3172301452141255e-06,0.8036279082298279,0.2080816179513931,0.0260102022439241,0.7559999823570251,0.0,0.2606817185878753,0.5213634371757507,0.4181896150112152,0.8415085077285767,0.8158890008926392,0.6541961431503296,6.317356110230321e-06,0.8371898531913757,0.1575015485286712,0.0196876935660839,fine-tune,28
