iteration,pr_auc_delta,f1_delta
0,-0.002732860626647793,-0.0013716384917542568
1,0.0008462717886327242,-0.0018295544173879685
2,0.0008360448757923633,-0.005552823647397065
3,-0.0009750418539952177,-0.0041026106577518595
4,-0.0007085731781990567,-0.0068549204007907205
5,-0.0006199358871329386,-0.005790971653140908
6,-2.4947911956951785e-05,-0.009619670939811087
7,0.003078475612259046,-0.003675152865038389
8,-0.004309854304954119,-0.012457450155896943
9,-0.0002191415434360522,-0.004088164190464649
10,-0.0007325961028803452,-0.004356752967099031
11,-0.003640093447660142,-0.0077966679503286285
12,-0.003539471632384439,-0.006334511420417743
13,-0.0007782199459931416,-0.007897137829327328
14,0.0040013902657619616,-0.008279644497307337
15,-0.002533845233593346,-0.009358021160995156
16,-0.0028553337112492416,-0.0235870833873687
17,0.00044218851109734114,-0.012656825127783433
18,-0.0023332552430196385,-0.01226383180289703
19,-0.0011918049162135125,-0.012342972940471042
20,-0.0028704051172777634,-0.011028225411774506
21,-0.002837609879622338,-0.0053715633790037964
22,0.0039066000024901015,0.002624538434622403
23,0.0018722797579134864,-0.01303701755837583
24,0.00012387516353651318,0.007440458325830179
25,0.0035745743690400733,-0.007096927839961853
26,0.0006493632830710805,-0.010902557170950788
27,-0.002816129133664358,-0.012970469021424513
28,-0.00021379233540008702,-0.00944851322826512
29,-0.004841231735894347,-0.011571439411184437
30,0.0005426626045977878,-0.01891968020331447
31,-0.00034045497266954605,-0.006638648609818554
32,-0.002003908100779994,-0.00446315255097729
33,-0.0003512916257748522,-0.01336032321790781
34,0.0017869709192942507,-0.016331275729090322
35,-0.0014710591542536067,-0.011333262054955662
36,-0.004107341147515764,-0.008148485033456221
37,0.0011358469055640086,-0.016197183098591528
38,-0.0015080687078937727,-0.005932567986776327
39,0.00011202941860044557,-0.01132075471698113
40,-0.0005240829736854469,-0.019791965717556925
41,0.00478147147176633,-0.010186253996740557
42,0.004199004287635644,-0.0014817707115017953
43,-0.002541632624533774,-0.011895992800730948
44,-0.005053954950403838,-0.019132682499019116
45,0.0033658835544821963,-0.005692249750208878
46,-0.0017812126298814013,-0.009131063199499967
47,0.0003906985485677694,-0.01376975384834389
48,-0.003997312909864159,-0.0035624422424125335
49,0.0017196475240585096,-0.01478081824112576
50,0.0029118270670299706,-0.0056818575756945044
51,-0.004888404748737196,-0.013751094643936757
52,-0.0033044328800083678,-0.01003733761593073
53,-0.0007430087233313287,-0.003115827192936904
54,-0.0015026716093120562,-0.009080657439080042
55,0.0030793025375471794,-7.43102888394187e-05
56,-0.0012454533241311738,-0.004359896703284183
57,-0.00025737408656612004,-0.009845956175020598
58,-0.004674535661096879,-0.00835071397759568
59,-0.002194171074371698,-0.01622667531758437
60,0.0012817260801402108,-0.020295957358775207
61,-0.0004929036949314902,-0.005188142916666472
62,-0.004568778693968323,-0.019185014852471927
63,-0.004004471770087448,-0.013760802462776
64,-0.002590220555392153,-0.008237533476273096
65,0.0031116918444010766,-0.007475083056478371
66,-0.0015361881761624119,-0.015616702071163058
67,-0.0035078035883364667,-0.006524421730728647
68,-0.003573286573501422,-0.010797292139571257
69,0.0014692339039978908,-0.012113370301909954
70,0.0010887021037552236,-0.00884053160890319
71,-0.002612674147232541,-0.008235704549879874
72,-0.0004227449889664392,-0.02323683719121794
73,-0.0019928238470332538,-0.0171782136311468
74,0.00032173974369265057,-0.01163190830054206
75,-0.0015554097461236704,-0.013774904141878541
76,0.0010153610544894054,-0.00459584952146308
77,-0.003794667543366992,-0.007135595903029035
78,-0.0017129197505005855,-0.011676400767441364
79,0.003931811417817732,-0.0006529798858010416
80,-0.001327131546672855,-0.015352164217436792
81,-0.00387733818115521,-0.011516590549474293
82,-0.004073887017918554,0.0010656486783503505
83,0.0011605503057392497,-0.011579118420339873
84,-0.0008179301883932677,-0.007733165309060874
85,-4.986094156256282e-05,-0.00910009930148703
86,-0.002973426295537429,-0.0046508765566753985
87,0.0019283693299770865,-0.0050333838322372815
88,-0.004330583111778363,-0.0070277490448968916
89,0.000645931426639601,-0.006125121127686151
90,0.0008442823992071968,-0.010036153397232406
91,0.003590827641839378,-0.008336674603213856
92,0.0013540993926478562,-0.01492278865413188
93,-0.003741100626417526,-0.015211394794135469
94,-0.0010020861196557984,0.00035750934867628814
95,-0.0011753397649025832,-0.007545313126075315
96,-0.007699371601880389,-0.017545371020336376
97,-0.0039169101124354455,-0.014664530187015856
98,0.000846745039298491,-0.002681043179963205
99,0.0031557330164883046,-0.018151121987935892
100,-0.0007573219504962703,-0.017055447560862746
101,-0.00029333456271096736,-0.015634774323176615
102,0.0020320226244585626,-0.012473766650814011
103,-0.002419667088012334,-0.00804159923349368
104,-0.00047004532363026374,-0.013162546572026868
105,-0.0021536063891153256,-0.015019308710601531
106,0.002753284287227209,-0.005825111501554292
107,0.001527547698576881,-0.011162755519496192
108,-0.00014741359828940315,-0.014703480947627967
109,-0.0006499949679619199,-0.007216563923881036
110,0.0006221406819679753,-0.008142595368982208
111,-0.0007707611049042606,0.004672160310219553
112,0.0026176479104847994,-0.006697928235503858
113,0.0016628743993661876,-0.0025595414483697843
114,-0.0017908444375107635,-0.005482899793400331
115,0.0007634639103336616,-0.013278590600102502
116,0.0005381733207280304,-0.004490685648365411
117,0.0009743214336063177,-0.0017894189793160598
118,-0.003810449835730645,-0.0066900669328971984
119,-0.002946216456606976,-0.008047623813311255
120,0.003582448689665063,-0.0024448726253585296
121,-0.0005539710541095921,0.0014742983599701498
122,-0.00029590396578837996,-0.008538023774711023
123,0.0014860556305136274,-0.003489068696148845
124,0.0018489823148037932,-0.007405674297320641
125,-0.0009997592013356593,-0.015262336822392086
126,-0.0016562067658785207,-0.007573306476148511
127,-0.0015064466068943627,-0.007383834758053709
128,0.002564805876175691,-0.0021528609175223146
129,0.0019933430101338745,-0.007327741781750774
130,-0.0016084545598493705,-0.010418262601501471
131,-0.0005948628965058989,-0.004385310928867736
132,-0.0024604985075472596,-0.014628134041126284
133,-0.0023730405133137733,0.0005326094726032515
134,0.0041114701780397,-0.009506429537353589
135,-0.0006263107326489603,-0.008650696150696247
136,0.00042640897503165576,-0.00696166937990228
137,-0.0017562533081908471,-0.010816388946921052
138,0.0006345228346534837,-0.01666788046512757
139,-0.002777506800260565,-0.01346057629626185
140,0.0027297606454748102,-0.01099373113039448
141,-0.0008790692911697651,-0.010055492755112527
142,0.0019158822016666077,-0.007345115426651505
143,-0.0007679992086749854,-0.00362974831691365
144,-0.0013633666901257113,-0.003863667102475099
