split,samples,positives,teacher_probability_mean,teacher_logit_std,positive_fraction
test,2000,981,0.45785873622055,2.718324280048676,0.4905
train,12000,6000,0.476658877055975,2.7336980289664674,0.5
val,2000,989,0.48100511386212996,2.7228383146340076,0.4945
