model,samples,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,specificity,confusion_matrix,positive_prevalence,predicted_positive_rate,expected_calibration_error_10_bins,mean_absolute_probability_delta_vs_float
baseline_96_int8,2000,0.34,0.691,0.644852354349561,0.8236493374108053,0.7233661593554163,0.8009401393903199,0.8034297147139705,0.563297350343474,"[[574, 445], [173, 808]]",0.4905,0.6265,0.023007355242967605,
fast_80_int8,2000,0.27,0.6575,0.6009549795361528,0.8980632008154944,0.720065386187168,0.7881690290194759,0.787266057739353,0.4259077526987242,"[[434, 585], [100, 881]]",0.4905,0.733,0.018021484374999997,0.008167900074273348
subset_teacher_160_float,2000,0.365,0.8515,0.8592436974789915,0.8338430173292558,0.8463528194516295,0.9214596469325425,0.9304756816465961,0.8684985279685966,"[[885, 134], [163, 818]]",0.4905,0.476,0.03264125370606781,
targeted_36k_teacher_160_float,2000,0.5,0.842,0.8556149732620321,0.8154943934760448,0.8350730688935282,0.92191481124686,0.9301235406968571,0.8675171736997056,"[[884, 135], [181, 800]]",0.4905,0.4675,0.03963744822144508,
