bin,confidence,observed,samples
0,0.059331715,0.03162055335968379,253
1,0.14682412,0.10175438596491228,285
2,0.24782707,0.1778846153846154,208
3,0.3480248,0.26063829787234044,188
4,0.44614163,0.44274809160305345,131
5,0.55020833,0.5041322314049587,121
6,0.65194136,0.6736842105263158,95
7,0.74950755,0.8148148148148148,108
8,0.8540226,0.8794326241134752,141
9,0.96442324,0.9851063829787234,470
