model,samples,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,specificity,confusion_matrix,positive_prevalence,predicted_positive_rate,expected_calibration_error_10_bins,mean_absolute_probability_delta_vs_float,ece_10
Baseline-96 INT8,2000,0.34,0.691,0.644852354349561,0.8236493374108053,0.7233661593554163,0.8009401393903199,0.8034297147139705,0.563297350343474,"[[574, 445], [173, 808]]",0.4905,0.6265,0.023007355242967605,,
Fast-80 INT8,2000,0.27,0.6575,0.6009549795361528,0.8980632008154944,0.720065386187168,0.7881690290194759,0.787266057739353,0.4259077526987242,"[[434, 585], [100, 881]]",0.4905,0.733,0.018021484374999997,0.008167900074273348,
Student-120 float,2000,0.31,0.738,0.7031111111111111,0.8063200815494393,0.7511870845204178,0.8318422950685197,0.840623373370087,0.6722276741903828,"[[685, 334], [190, 791]]",0.4905,0.5625,,,0.06109668425098061
Student-120 INT8,2000,0.275,0.736,0.6937553464499572,0.8267074413863404,0.7544186046511628,0.8272136241183067,0.8352648680090284,0.6486751717369971,"[[661, 358], [170, 811]]",0.4905,0.5845,,,
Teacher-160 float,2000,0.365,0.8515,0.8592436974789915,0.8338430173292558,0.8463528194516295,0.9214596469325425,0.9304756816465961,0.8684985279685966,"[[885, 134], [163, 818]]",0.4905,0.476,0.03264125370606781,,
