model,threshold,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate
Teacher-160 float,0.365,0.8515,0.8592436974789915,0.8338430173292558,0.8684985279685966,0.8463528194516295,0.9214596469325425,0.930475681646596,0.476
Student-120 float,0.31,0.738,0.7031111111111111,0.8063200815494393,0.6722276741903828,0.7511870845204178,0.8318422950685197,0.840623373370087,0.5625
Student-120 INT8,0.275,0.736,0.6937553464499572,0.8267074413863404,0.6486751717369971,0.7544186046511628,0.8272136241183067,0.8352648680090284,0.5845
Baseline-96 INT8,0.34,0.691,0.644852354349561,0.8236493374108053,0.563297350343474,0.7233661593554163,0.8009401393903199,0.8034297147139705,0.6265
Fast-80 INT8,0.27,0.6575,0.6009549795361528,0.8980632008154944,0.4259077526987242,0.720065386187168,0.7881690290194759,0.787266057739353,0.733
Pruned-S50 INT8,0.47000000000000003,0.6835,0.634466769706337,0.836901121304791,0.535819430814524,0.7217582417582418,0.7858541933638044,0.7809979696503992,0.647
