variant,input,parameters,model_bytes,macs,peak_live_int8_bytes,tflite_live_activation_peak_bytes,arena_used_bytes,arena_reserved_bytes,arena_headroom_bytes,arena_utilization,arena_bytes_beyond_live_tensors,input_tensor_bytes,model_constant_bytes,internal_free_ready_bytes,internal_largest_ready_bytes,psram_free_ready_bytes,psram_consumed_to_ready_bytes,psram_with_stream_client_bytes,device_inference_ms,device_inference_min_ms,device_inference_max_ms,device_mmacs_per_second,accuracy,precision,recall,specificity,f1,pr_auc,threshold
baseline_96,96x96x3,111793,167976,5616256,73728,55296,91596,358400,266804,0.25556919642857145,36300,27648,111806,66867,61440,3378736,813008,997328,640.53425,638.395,644.099,8.768080707628046,0.691,0.644852354349561,0.8236493374108053,0.563297350343474,0.7233661593554163,0.8034297147139705,0.34
fast_80,80x80x3,111793,167976,3993536,51200,38400,69068,358400,289332,0.19271205357142857,30668,19200,111806,66867,61440,3387184,804560,988880,455.5464,453.364,459.697,8.766474721345618,0.6575,0.6009549795361528,0.8980632008154944,0.4259077526987242,0.720065386187168,0.787266057739353,0.27
