strategy,tag,round,cumulative_target,actual_sparsity,immediate_f1,immediate_pr_auc,recovered_f1,recovered_pr_auc,train_loss,val_pr_auc_fit
paper_iterative,s25,1,0.05,0.04999809422168013,0.7153284671532847,0.7829423112044591,0.7174490699734278,0.78396938931239,0.5372053384780884,0.7836523652076721
paper_iterative,s25,2,0.1,0.09999618844336026,0.7176947321026564,0.7840616801078992,0.7221476510067114,0.7842877636607366,0.5396555066108704,0.7842612266540527
paper_iterative,s25,3,0.15000000000000002,0.1499942826650404,0.7184724689165186,0.7836556099965623,0.7190812720848057,0.7837695907545207,0.5379136800765991,0.7835010290145874
paper_iterative,s25,4,0.2,0.19999237688672053,0.7187780772686433,0.7810440878558523,0.7201442091031997,0.7813504209212163,0.5370529890060425,0.7810499668121338
paper_iterative,s25,5,0.25,0.25,0.7164307164307164,0.7825396959240076,0.7193217313699242,0.7824456788422154,0.5361843109130859,0.7822918891906738
paper_iterative,s50,1,0.1,0.09999618844336026,0.7149280575539568,0.7832103617808889,0.7181571815718157,0.7841589632059756,0.5372363924980164,0.784072756767273
paper_iterative,s50,2,0.2,0.19999237688672053,0.7193533902110463,0.7807958806267528,0.7177163570457635,0.781698486452686,0.540192186832428,0.7814614772796631
paper_iterative,s50,3,0.30000000000000004,0.2999980942216801,0.7195720017833259,0.7816331742607092,0.7208480565371025,0.7821965738796304,0.544831395149231,0.7819758653640747
paper_iterative,s50,4,0.4,0.3999942826650404,0.7214496418036241,0.7819574234711724,0.7252173913043478,0.782605202633223,0.5640656352043152,0.7822970747947693
paper_iterative,s50,5,0.5,0.5,0.715374271627073,0.7692051241190387,0.7176733780760627,0.7693447668450248,0.6356748938560486,0.7692424058914185
paper_iterative,s75,1,0.15,0.1499942826650404,0.7153153153153153,0.7824689090837071,0.7179719330013581,0.7833083768576536,0.5377476811408997,0.7831647396087646
paper_iterative,s75,2,0.3,0.2999980942216801,0.7183600713012478,0.7813247710349667,0.7228915662650602,0.7823530316699112,0.5478438138961792,0.7820963263511658
paper_iterative,s75,3,0.44999999999999996,0.44999237688672056,0.7162909400255211,0.7736704927306464,0.7225459435230838,0.7753716053812882,0.6129816174507141,0.7745035886764526
paper_iterative,s75,4,0.6,0.5999961884433602,0.6617597858815657,0.6930242438776641,0.6617597858815657,0.7076911732449491,0.6983894109725952,0.6739121675491333
paper_iterative,s75,5,0.75,0.75,0.6617597858815657,0.4945,0.6617597858815657,0.4945,0.699343204498291,0.4945000112056732
paper_iterative,s90,1,0.18,0.1799912334197286,0.7176470588235294,0.7823613650253611,0.720581553839164,0.7832624845649938,0.5378676056861877,0.7830856442451477
paper_iterative,s90,2,0.36,0.35999199573105656,0.7193675889328063,0.7774347863434365,0.7236315086782377,0.7797042660785679,0.5630865693092346,0.7794281244277954
paper_iterative,s90,3,0.54,0.5399927580423846,0.6931297709923664,0.7455180126222787,0.7034372501998402,0.753726100433391,0.6826552152633667,0.7516905069351196
paper_iterative,s90,4,0.72,0.7199935203537124,0.6617597858815657,0.4945,0.6617597858815657,0.4945,0.6997454166412354,0.4945000112056732
paper_iterative,s90,5,0.9,0.8999942826650404,0.6617597858815657,0.4945,0.6617597858815657,0.4945,0.6964905858039856,0.4945000112056732
