strategy,tag,target_sparsity,actual_sparsity,prune_retrain_rounds,final_recovery_epochs,recovery_seconds,model_path,mask_path,immediate_samples,immediate_threshold,immediate_accuracy,immediate_precision,immediate_recall,immediate_f1,immediate_roc_auc,immediate_pr_auc,immediate_specificity,immediate_positive_prevalence,immediate_predicted_positive_rate,immediate_expected_calibration_error_10_bins,recovered_samples,recovered_threshold,recovered_accuracy,recovered_precision,recovered_recall,recovered_f1,recovered_roc_auc,recovered_pr_auc,recovered_specificity,recovered_positive_prevalence,recovered_predicted_positive_rate,recovered_expected_calibration_error_10_bins
paper_iterative,s25,0.25,0.25,5,3,182.9515969999993,artifacts/pruning/unstructured_magnitude/models/iterative_s25_recovered.keras,artifacts/pruning/unstructured_magnitude/models/iterative_s25_masks.npz,2000,0.365,0.6855,0.6437699680511182,0.8149646107178968,0.7193217313699242,0.7763839424570373,0.7824456788422154,0.5588526211671613,0.4945,0.626,0.02299783599376678,2000,0.385,0.6875,0.6477272727272727,0.8068756319514662,0.7185952273750563,0.776297932049778,0.7823495447469018,0.5707220573689417,0.4945,0.616,0.032884753569960595
paper_iterative,s50,0.5,0.5,5,3,175.54156204200262,artifacts/pruning/unstructured_magnitude/models/iterative_s50_recovered.keras,artifacts/pruning/unstructured_magnitude/models/iterative_s50_masks.npz,2000,0.49,0.6845,0.6436597110754414,0.8109201213346815,0.7176733780760627,0.7738336338696982,0.7693447668450248,0.5608308605341247,0.4945,0.623,0.12108377936482428,2000,0.465,0.6725,0.6265151515151515,0.8361981799797775,0.7163274144651364,0.7734565882471779,0.7671705568725382,0.5123639960435212,0.4945,0.66,0.1039898347258568
paper_iterative,s75,0.75,0.75,5,3,181.4303336669982,artifacts/pruning/unstructured_magnitude/models/iterative_s75_recovered.keras,artifacts/pruning/unstructured_magnitude/models/iterative_s75_masks.npz,2000,0.01,0.4945,0.4945,1.0,0.6617597858815657,0.5,0.4945,0.0,0.4945,1.0,0.004074823141098027,2000,0.01,0.4945,0.4945,1.0,0.6617597858815657,0.5,0.4945,0.0,0.4945,1.0,0.004071544885635381
paper_iterative,s90,0.9,0.8999942826650404,5,3,184.86619062499813,artifacts/pruning/unstructured_magnitude/models/iterative_s90_recovered.keras,artifacts/pruning/unstructured_magnitude/models/iterative_s90_masks.npz,2000,0.01,0.4945,0.4945,1.0,0.6617597858815657,0.5,0.4945,0.0,0.4945,1.0,0.004039328575134282,2000,0.01,0.4945,0.4945,1.0,0.6617597858815657,0.5,0.4945,0.0,0.4945,1.0,0.004036139726638799
